gtd_gname,year,suicide,name,base,cow_id1,tios_groupid,gtd_countrycode,marob_orgid,acled_name1,acled_name2,acled_name3,acled_name4,acled_name5,acled_name6,acled_name7,acled_name8,groupid,church,clinic,court,cultural,financial,foodbank,hospital,loan,madrassa,medic,medical,microloan,militia,minister,mosque,news,party,police,radio,reconstruction,school,septic,shadow,social,sport,teacher,trash,religion,infrastructure,health,education,finance,security,religionmean,infrastructuremean,healthmean,educationmean,financemean,securitymean,socialmean,total,totalmean,churchdich,madrassadich,ministerdich,mosquedich,reconstructiondich,septicdich,trashdich,clinicdich,hospitaldich,medicdich,schooldich,teacherdich,loandich,microloandich,militiadich,culturaldich,socialdich,sportdich,courtdich,newsdich,radiodich,eduhealthdiversity,numgroups,educationdich,healthdich,totdivcount,society,societymean,artcount,words,sentences
1920 Revolution Brigades,2004,1,1920 Revolution Brigades,Iraq,645,372.0,95,,,,,,,,,,372,0,0,2,0,0,0,0,0,0,2,0,0,7,0,0,51,0,0,2,0,3,0,0,2265,3,0,0,0,0,2,3,0,7,0.0,0.0,0.66666669,1.5,0.0,7,755.0,2280,114.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,15,1,0,8,2268,756.0,59,43913,1513
23rd of September Communist League,1977,0,23rd of September Communist League,Mexico,70,136.0,130,,,,,,,,,,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15124,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5041.3335,15124,756.2000099999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,15124,5041.3335,1,721,30
23rd of September Communist League,1978,0,23rd of September Communist League,Mexico,70,136.0,130,,,,,,,,,,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7505,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,2501.6667,7505,375.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,7505,2501.6667,3,421,14
2nd of June Movement,1980,0,2nd June Movement,"Federal Republic of Germany, Germany",260,274.0,75,,,,,,,,,,274,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5855,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.5,0.0,0,1951.6666,5856,292.79999,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,2,1,0,3,5855,1951.6666,4,2746,98
2nd of June Movement,1981,0,2nd June Movement,"Federal Republic of Germany, Germany",260,274.0,75,,,,,,,,,,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,12595,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.5,0.0,0,4198.3335,12596,629.7999900000001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,1,0,3,12595,4198.3335,1,1275,45
31 January People's Front (FP-31),1982,0,January 31 Popular Front,Guatemala,90,246.0,83,,,,,,,,,,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,196,0,0,0,1,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0,65.333336,197,9.8500004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,3,196,65.333336,3,1339,53
Abu Nidal Organization (ANO),1976,0,Abu Nidal Organization (ANO),"Iraq, Libya, Syria",645,240.0,95,,,,,,,,,,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,440.0,1320,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1320,440.0,1,215,9
Abu Nidal Organization (ANO),1980,0,Abu Nidal Organization (ANO),"Iraq, Libya, Syria",645,240.0,95,,,,,,,,,,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,15,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,15,5.0,7,1499,38
Abu Nidal Organization (ANO),1981,0,Abu Nidal Organization (ANO),"Iraq, Libya, Syria",645,240.0,95,,,,,,,,,,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,21362,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,7120.6665,21362,1068.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,0,0,3,21362,7120.6665,11,7511,221
Abu Nidal Organization (ANO),1982,0,Abu Nidal Organization (ANO),"Iraq, Libya, Syria",645,240.0,95,,,,,,,,,,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,15428,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.5,0.0,0,5142.6665,15429,771.4500099999999,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,7,1,0,4,15428,5142.6665,16,10996,348
