region,suicide,gname,country
2,0,MANO-D,58
1,0,23rd of September Communist League,130
5,0,Unknown,160
8,0,Unknown,78
4,0,Unknown,101
1,0,Black Nationalists,217
3,0,Tupamaros (Uruguay),218
1,0,Unknown,217
1,0,New Year's Gang,217
1,0,New Year's Gang,217
1,0,"Weather Underground, Weathermen",217
1,0,Left-Wing Militants,217
8,0,Unknown,98
1,0,Left-Wing Militants,217
1,0,Armed Commandos of Liberation,217
9,0,Commune 1,499
11,0,Eritrean Liberation Front,65
1,0,Black Nationalists,217
1,0,Strikers,217
1,0,Black Nationalists,217
1,0,Black Nationalists,217
3,0,Tupamaros (Uruguay),218
1,0,Black Nationalists,217
1,0,Student Radicals,217
1,0,White extremists,217
2,0,Unknown,83
5,0,Unknown,160
3,0,Armed Forces of National Liberation- Venezuela (FALN),222
1,0,Strikers,217
1,0,White extremists,217
1,0,Black Nationalists,217
1,0,Black Nationalists,217
1,0,Black Nationalists,217
1,0,Left-Wing Militants,217
9,0,Unknown,499
1,0,White extremists,217
1,0,Strikers,217
1,0,Strikers,217
1,0,Student Radicals,217
5,0,New People's Army (NPA),160
1,0,Unknown,217
1,0,Left-Wing Militants,217
1,0,Black Nationalists,217
1,0,Unknown,217
1,0,Unknown,217
1,0,Unknown,217
1,0,Strikers,217
1,0,Black Nationalists,217
1,0,White extremists,217
1,0,White extremists,217
1,0,Armed Revolutionary Independence Movement (MIRA),217
1,0,Armed Revolutionary Independence Movement (MIRA),217
1,0,Armed Revolutionary Independence Movement (MIRA),217
1,0,Student Radicals,217
1,0,Student Radicals,217
1,0,Armed Revolutionary Independence Movement (MIRA),217
1,0,Armed Revolutionary Independence Movement (MIRA),217
1,0,Armed Revolutionary Independence Movement (MIRA),217
1,0,Strikers,217
8,0,Popular Front for the Liberation of Palestine (PFLP),362
1,0,Student Radicals,217
1,0,Unknown,217
8,0,Popular Front for the Liberation of Palestine (PFLP),362
1,0,Black Nationalists,217
1,0,Left-Wing Militants,217
1,0,Student Radicals,217
1,0,Unknown,217
1,0,Unknown,217
1,0,Unknown,217
1,0,Left-Wing Militants,217
1,0,Unknown,217
1,0,Unknown,217
1,0,White extremists,217
1,0,Student Radicals,217
1,0,Black Nationalists,217
1,0,Black Nationalists,217
1,0,Left-Wing Militants,217
1,0,Student Radicals,217
1,0,Student Radicals,217
8,0,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",362
8,0,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",199
1,0,Left-Wing Militants,217
1,0,Left-Wing Militants,217
1,0,"Weather Underground, Weathermen",217
1,0,Black Nationalists,217
1,0,White extremists,217
1,0,New Year's Gang,217
1,0,Strikers,217
1,0,Strikers,217
1,0,Strikers,217
1,0,Strikers,217
1,0,Left-Wing Militants,217
1,0,White extremists,217
1,0,Student Radicals,217
1,0,Student Radicals,217
10,0,Unknown,102
5,0,Unknown,160
8,0,Eritrean Liberation Front,98
1,0,Student Radicals,217
1,0,Left-Wing Militants,217
1,0,Student Radicals,217
1,0,Left-Wing Militants,217
1,0,Black Nationalists,217
8,0,1st of May Group,185
1,0,Left-Wing Militants,217
1,0,Student Radicals,217
1,0,Left-Wing Militants,217
1,0,Unknown,217
1,0,Left-Wing Militants,217
1,0,Left-Wing Militants,217
1,0,Left-Wing Militants,217
1,0,Armed Commandos of Liberation,217
2,0,Rebel Armed Forces of Guatemala (FAR),83
1,0,"Weather Underground, Weathermen",217
1,0,"Weather Underground, Weathermen",217
1,0,Unknown,217
1,0,Ku Klux Klan,217
1,0,White extremists,217
1,0,White extremists,217
1,0,Black Nationalists,217
8,0,Unknown,362
1,0,Left-Wing Militants,217
1,0,Student Radicals,217
3,0,Popular Revolutionary Vanguard (VPR),30
1,0,Student Radicals,217
1,0,Revolutionary Force 9,217
1,0,Revolutionary Force 9,217
