summary,motive,region,gname,country
,,2,MANO-D,58
,,1,23rd of September Communist League,130
,,5,Unknown,160
,,8,Unknown,78
,,4,Unknown,101
"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",To protest the Cairo Illinois Police Deparment,1,Black Nationalists,217
,,3,Tupamaros (Uruguay),218
"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",,1,Unknown,217
"1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",To protest the War in Vietnam and the draft,1,New Year's Gang,217
"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",To protest the War in Vietnam and the draft,1,New Year's Gang,217
,,1,"Weather Underground, Weathermen",217
"1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",Protest the draft and Vietnam War,1,Left-Wing Militants,217
,,8,Unknown,98
"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",,1,Left-Wing Militants,217
"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",To protest United States owned businesses in Puerto Rico,1,Armed Commandos of Liberation,217
,,9,Commune 1,499
,,11,Eritrean Liberation Front,65
"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",Suspected motives were to protest the Vietnam War and/or show support for the Black Panther Party and/or show support for the Young Lords.,1,Black Nationalists,217
"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",,1,Strikers,217
"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States.  There were no casualties but the store sustained an estimated $17,000 in damages.  Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,1,Black Nationalists,217
"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States.  The building was damaged and one police officer was severely burned.",,1,Black Nationalists,217
,,3,Tupamaros (Uruguay),218
"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States.  There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",The incident took place during disturbances between the Black Student Union and the university.,1,Black Nationalists,217
"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States.  The device was discovered and subsequently disarmed.",The incident took place during heightened antiwar sentiments in Seattle Washington.,1,Student Radicals,217
"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States.  Two hours later shots were fired at the building.  There were no casualties but the building sustained minor damages.",Intimidate the Black Panther Party.,1,White extremists,217
,,2,Unknown,83
,,5,Unknown,160
,,3,Armed Forces of National Liberation- Venezuela (FALN),222
"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States.  There were no casualties, however, a sizable hole was left in the house and windows were broken.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,1,Strikers,217
"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States.  There were no injuries or fatalities.  The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,1,White extremists,217
"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car.  Officer Kivlehan was hit five times and officer Bax was hit three times.  Both policemen survived.",To kill police,1,Black Nationalists,217
"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States.  There were no injuries or fatalities but the windows of the building were shattered.",African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,1,Black Nationalists,217
"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions.  The perpetrators in the car immediately fired two shots at Officer Blik and then drove away.  Officer Blik was not hit.",To kill police,1,Black Nationalists,217
"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States.  The perpetrators took out the draft records and set them on fire.  The attack caused an estimated $8,800 in damages.",Protest and sabotage the draft,1,Left-Wing Militants,217
,,9,Unknown,499
"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States.  There were no casualties but the building sustained $1,000 in damages.  During this time period, there were numerous bombings in the Seattle area.",,1,White extremists,217
"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States.  There were no casualties but the blast damaged the foundation of the building.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,1,Strikers,217
"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States.  There were no casualties but the blast caused $2,500 in damages.  This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,1,Strikers,217
"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States.  There were no casualties but an Army personal carrier was damaged.  Two firebombs did not explode.",To protest the R.O.T.C. program and the War in Vietnam,1,Student Radicals,217
,,5,New People's Army (NPA),160
"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States.  There were no casualties but a restroom was damaged.",,1,Unknown,217
"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records.  About two hundred and fifty files were destroyed causing $4,189 in damage.",Protest and sabotage the draft,1,Left-Wing Militants,217
"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States.  Three bullets struck the police car of Officers Harold Nelson and John Abercrombie.  Neither officer was injured but the windshield of vehicle car was shattered.",To protest police presence in Pyramid Courts,1,Black Nationalists,217
"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States.  The device was dismantled before it inflicted any damage.  The next day, two incendiary devices were discovered at other department stores in New York City.",,1,Unknown,217
"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",,1,Unknown,217
"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States.  The device was immediately doused with water and did not cause any damage.",,1,Unknown,217
"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States.  There were no casualties and the car sustained only minor damages.",The attack occurred during the violent Iowa Beef Packers strike.,1,Strikers,217
"2/6/1970: Unknown anti-desegregationists detonated at least twelve dynamite bombs damaging thirty-nine vehicles, most of them school buses, in Denver, Colorado, United States.  There were no casualties.",Sabotage/protest the integration of Denver City Schools.,1,Black Nationalists,217
"2/6/1970: Suspected White Racists detonated a bomb at the house of State Senator Fred Dore in Seattle, Washington, United States.  There were no casualties, but the house sustained major damages.  Dore was a White sympathizer of African American causes.",To intimidate/show dissatisfaction with White sympathizers of the African American cause.,1,White extremists,217
"2/6/1970: Unknown perpetrators detonated a bomb at a synagogue in Seattle, Washington, United States.  There were no casualties but the building as well as surrounding residences sustained minor damage.   During this time period, there were numerous bombings in the Seattle area.",,1,White extremists,217
"2/6/1970: In a series of related events, the Armed Revolutionary Independence Movement (MIRA) claimed credit for igniting firebombs at a Selective Service office in Dorado, Puerto Rico.  There were no casualties and it is unknown if the firebombs caused any damage.",To fight imperialism and exploitation.,1,Armed Revolutionary Independence Movement (MIRA),217
