index,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,motive2,topic1,topic2
23,200306040003,2003,6,4,,0,,21,Belgium,8,Western Europe,Brussels,Brussels,50.836426,4.367415,1.0,0,,"06/04/2003:  Twenty people became ill at the U.S. Embassy in Brussels, Belgium after handling letters that contained phenarsazine chloride and hydrazine.",1,1,1,0.0,,,1.0,1,0,8,Unarmed Assault,,,,,7,Government (Diplomatic),46.0,Embassy/Consulate,United States State Department,"Employees at the U.S. Embassy in Brussels, Belgium.",217.0,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,The attack occurred during the trail of suspected Al Qaida terrorists.,0.0,,,0,,0.0,0.0,,,,,,,,,,2,Chemical,,,,,,,,,,,,,,,"phenarsazine chloride, hydrazine",0.0,0.0,0.0,20.0,,0.0,0,,,,,-9.0,,,,,,,,,,,,,,,,,"Castonguay, Gilles, ""Belgium Finds Nerve Gas Ingredient in Letters,"" Reuters, June 4, 2003.","""Belgians Detain Iraqi Suspected of Mailing Nerve Gas Chemical,"" New York Times, June 6, 2003.","""Belgium Frees Suspect in Toxic Letters Case,"" Xinhua General News Service, Jult 22, 2003.",CETIS,-9,-9,1,1,"200306040003, 200306040004, 200306040005, 200306040006, 200306040007, 200306040008, 200306040009, 200306040010","[u'occur', u'trail', u'suspect', u'qaida', u'terrorist']",0.8208397030830383,0.17916031181812286
24,200112030005,2001,12,3,,0,,141,Nepal,6,South Asia,Central,Lalitpur,27.66897,85.319824,1.0,0,,"12/3/2001: Three suspected Maoists exploded a bomb in a carpet factory in Lalitpur City, Bagmati Zone, Nepal.  The assailants left a bag at the front entrance to the factory; they warned workers that they had 30 seconds to evacuate before the device exploded.  One person was killed, while another three were injured; one of the injured died later in hospital.  No group claimed responsibility for the incident.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,1,Business,5.0,Industrial/Textiles/Factory,Nepalese business,A carpet factory in Lalitpur,141.0,Nepal,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Civilians,Civilians in the vicinity of the carpet factory,141.0,Nepal,,,,,,,,,Maoists,,,,,,"Specific motive is unknown; however, authorities believe that the attack may have been perpetrated by Maoist rebels who are currently engaged in a campaign to end the constitutional monarchy.",1.0,,,0,3.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,"A device left in a ""jute sack"" at the front entrance to the factory.",2.0,0.0,0.0,2.0,0.0,0.0,1,4.0,Unknown,,A bomb exploded at the front entrance of the factory; windows in nearby buildings were shattered.,0.0,,,,,,,,,,,,,,,,,"""1 killed, 3 injured in bomb attack in Kathmandu,"" Japan Economic Newswire, December 3, 2001.","""Explosion rips through carpet factory in Nepal,"" Associated Press, December 3, 2001","""Nepal: Capital bomb blast claims second victim,"" British Broadcasting Company, December 4, 2001.",UMD Schmid 2012,-9,-9,0,-9,,"[u'author', u'believ', u'perpetr', u'maoist', u'rebel', u'current', u'engag', u'campaign', u'constitut', u'monarchi']",0.9246853590011597,0.07531465590000153
40,201512050015,2015,12,5,,0,,228,Yemen,10,Middle East & North Africa,Adan,Aden,12.825647,44.846416,1.0,0,,"12/05/2015: Assailants opened fire on Colonel Aqeel Al Khodr in Aden city, Adan governorate, Yemen. Al Khodr, a military intelligence official, was killed in the attack. No group claimed responsibility for the incident; however, sources suspected that Al-Qaida in the Arabian Peninsula (AQAP) was involved in the attack.",1,1,0,1.0,1.0,Insurgency/Guerilla Action,0.0,1,0,1,Assassination,,,,,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Military of Yemen,Military Intelligence Official: Colonel Aqeel Al Khodr,228.0,Yemen,,,,,,,,,,,,,,,,,Al-Qaida in the Arabian Peninsula (AQAP),,,,,,"The specific motive is unknown; however, sources noted that Colonel Aqeel Al Khodr supported President Abd Rabbuh Mansur Hadi.",1.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Car-bomb attack kills governor of Yemen's Aden,"" Al Jazeera, December 6, 2015.","""Yemen's president meets UN envoy in Aden,"" Associated Press International, December 5, 2015.","""IS affiliate claims responsibility for Yemen governor killing,"" Belfast Telegraph, December 6, 2015.",START Primary Collection,0,1,0,1,,"[u'note', u'colonel', u'aqeel', u'khodr', u'support', u'presid', u'rabbuh', u'mansur', u'hadi']",0.06742237508296967,0.9325776100158691
53,200108180018,2001,8,18,,0,,174,Senegal,11,Sub-Saharan Africa,Ziguinchor,Sare Seydou,12.564148,-16.263982000000002,2.0,0,"The incident occurred in the middle of the forest, near Sare Seydou, Senegal.","08/18/2001: Two cattle dealers were killed by members of the Movement of Democratic Forces in the Casamance (MFDC) near Sare Seydou, Senegal. The victims were strangled, before they were subsequently killed. More than 20 heads of cattle and 30 goats were taken away by the attackers.",1,1,1,0.0,,,0.0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,Civilians,"Two Cattel Dealers near Sare Seydou, Senegal",174.0,Senegal,,,,,,,,,,,,,,,,,Movement of Democratic Forces of Casamance,,,,,,To sabotage the peace process signed between the MFDC and the Senegalese Government in March 2001.,1.0,,,0,,0.0,0.0,,,,,,,,,,9,Melee,26.0,Suffocation,13.0,Unknown,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,More than 20 heads of cattle and 30 goats were taken away by the attackers.,0.0,,,,,,,,,,,,,,,,,"“BBC reports continued molestation of civilians by separatist rebels,” BBC World Service, August 21, 2001.",,,CETIS,0,0,0,0,,"[u'sabotag', u'peac', u'process', u'sign', u'mfdc', u'senegales', u'govern', u'march']",0.07839589565992355,0.9216040372848511
59,201207030025,2012,7,3,,0,,153,Pakistan,6,South Asia,Sindh,Karachi,24.891115,67.143311,1.0,0,Incident occurred in the Orangi Town area of the city.,"07/03/2012: Assailants shot a Pakistan People's Party (PPP) senior worker in Orangi Town area, Sindh province, Pakistan. The worker and a civilian died in the gunfire. No group claimed responsibility for the attack.",1,1,1,0.0,,,0.0,1,0,2,Armed Assault,,,,,22,Violent Political Party,109.0,Party Official/Candidate/Other Personnel,Pakistan People's Party (PPP),Worker: Shahid Ahmed,153.0,Pakistan,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive is unknown; however, police sources speculated that the victims' membership in the Pakistan People's Party (PPP) may have been a motivation for the attack.",0.0,,,0,2.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"""Two PPP workers, cop among 5 killed,"" The Nation, July 4, 2012.","""Two PPP men among five gunned down in city,"" Plus News Pakistan, July 4, 2012.","""Two PPP activists among five shot dead in Karachi,"" Business Recorder, July 4, 2012.",START Primary Collection,-9,-9,0,-9,,"[u'polic', u'victim', u'membership', u'pakistan', u'peopl', u'parti', u'motiv']",0.2926369309425354,0.7073631286621094
77,201204150047,2012,4,15,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.516895,69.14701099999999,1.0,0,"Attack occurred at the Kabul City Hosital in Kabul, Kabul Province, Afghanistan","04/15/2012: Assailants launched a rocket at the Kabul City Hospital in Kabul city, Kabul province, Afghanistan. This was one of 21 coordinated attacks in Afghanistan on this day, across which 51 people, including 36 assailants, were killed and 74 others were wounded. The Haqqani Network claimed responsibility for all of the incidents.",1,1,1,0.0,,,1.0,1,0,3,Bombing/Explosion,,,,,1,Business,6.0,Medical/Pharmaceutical,Kabul City Hospital,Hospital,4.0,Afghanistan,,,,,,,,,,,,,,,,,Haqqani Network,,,,,,"The Haqqani Network clamed responsibility for the incident and stated that the attack was part of a larger pattern of violence designed to mark the start of the group's spring offensive.  Mujahid claimed that the 18-hour offensive was in revenge for actions by American military forces, including the murder of 17 civilians by a United States (US) soldier and the burning of Korans at a military base.  The spokesperson also claimed the attacks were designed to be a message in direct response to foreign commanders who claimed that the group had lost momentum.",0.0,,,0,-99.0,0.0,1.0,8.0,Personal claim,,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,A rocket-propelled grenade was used in the attack.,2.0,0.0,1.0,3.0,0.0,,1,3.0,Minor (likely < $1 million),-99.0,A police truck was damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers represent a division of the total number of those killed across incidents 201204150009, 201204150011, 201204150013, 201204150014, 201204150015, 201204150016, 201204150017, 201204150019, 201204150020, 201204150021, 201204150022, 201204150023, 201204150029, 201204150030, 201204150031, 201204150032, 201204150033, 201204150034, 201204150035, 201204150047, 201204150048, and 201204160018.","""Complex Attack By Taliban Sends Message To West,"" The New York Times, April 16, 2012.","""Taliban attacks target NATO, Western embassies; Long Planned; Revenge against American troops,"" The Gazette (Montreal), April 16, 2012.","""Haqqani network behind Afghan   attacks,"" Daily Tribune, April 20, 2012.",START Primary Collection,0,1,0,1,"201204150009, 201204150011, 201204150013, 201204150014, 201204150015, 201204150016, 201204150017, 201204150019, 201204150020, 201204150021, 201204150022, 201204150023, 201204150029, 201204150030, 201204150031, 201204150032, 201204150033, 201204150034, 201204150035, 201204150047, 201204150048","[u'haqqani', u'network', u'clam', u'respons', u'larger', u'pattern', u'violenc', u'design', u'mark', u'start', u'group', u'spring', u'offens', u'mujahid', u'claim', u'hour', u'offens', u'reveng', u'action', u'american', u'militari', u'forc', u'includ', u'murder', u'civilian', u'unit', u'state', u'soldier', u'burn', u'koran', u'militari', u'base', u'spokesperson', u'claim', u'attack', u'design', u'messag', u'direct', u'respons', u'foreign', u'command', u'claim', u'group', u'lose', u'momentum']",0.014219319447875023,0.9857807159423828
81,201503160020,2015,3,16,,0,,4,Afghanistan,6,South Asia,Logar,Puli Alam,34.021194,68.999535,1.0,0,The incident occurred in the Shahidan Square neighborhood of the city,"03/16/2015: An assailant opened fire on a National Uprising Movement (NUM) leader in Shahidan Square neighborhood, Puli Alam city, Logar province, Afghanistan. No casualties were reported. No group claimed responsibility for the incident.",1,0,1,1.0,3.0,Intra/Inter-group Conflict,0.0,0,0,1,Assassination,,,,,17,Terrorists/Non-State Militia,94.0,Non-State Militia,National Uprising Movement (NUM),Leader: Farhad Akbari,4.0,Afghanistan,,,,,,,,,,,,,,,,,Unknown,,,,,,"The specific motive is unknown; however, sources noted that Farhad Akbari was the leader of a group fighting against the Taliban.",0.0,,,0,1.0,0.0,0.0,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,An AK-47 assault rifle was used in the attack,0.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if any property was damaged in this attack.,0.0,,,,,,,,,,,,,,,,There is doubt that this incident meets terrorism-related criteria. The attack may have been the result of conflict between rival groups.,"""Afghanistan: Logar Uprising Leader Survives From Gun Attack,"" Pajhwok Afghan News, March 16, 2015.",,,START Primary Collection,-9,-9,0,-9,,"[u'note', u'farhad', u'akbari', u'leader', u'group', u'fight', u'taliban']",0.1497146487236023,0.8502854108810425
88,201004270009,2010,4,27,,0,,92,India,6,South Asia,West Bengal,Kuturia,22.475775,87.316819,1.0,0,The attack took place on the rail track at Kuturia between Midnapore and Godapiasal on Kharagpur.,"04/27/2010: On Tuesday night at 0120, in the Puturia area four miles outside Midnapore, West Bengal, India, on the railway track between the Midnapore and Bhadutala stations, a train driver found a landmine planted on the tracks just after another landmine was detonated. Railway officials and police arrived at the spot in an inspection train around 0230 and found another IED in a steel can on the Up line along with some electrical wire. Police suspect the electrical wire was used to trigger the first blast. No casualties were reported in the attack. The specific motive for the attack is unknown; however, the attack came during the second day of a two-day bandh called by the Maoists in Bengal, Bihar, Jharkhand, Orissa, Chhattisgarh and Andhra Pradesh to protest Operation Green Hunt. Communist Party of India - Maoist (CPI-Maoist) militants are suspected of being responsible for the attack.",1,1,1,0.0,,,1.0,0,0,3,Bombing/Explosion,,,,,19,Transportation,100.0,Train/Train Tracks/Trolley,Indian Railway Services,A portion of the rail track at Kuturia between Midnapore and Godapiasal on Kharagpur,92.0,India,,,,,,,,,,,,,,,,,Communist Party of India - Maoist (CPI-Maoist),,,,,,"The specific motive for the attack is unknown; however, the attack came during the second day of a two-day bandh called by the Maoists in Bengal, Bihar, Jharkhand, Orissa, Chhattisgarh and Andhra Pradesh to protest Operation Green Hunt.",1.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,8.0,Landmine,,,,,,,,,,,,,A landmine was used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"Jane’s Intelligence, “Suspected CPI-M Militants Attack Railway Line in India's West Bengal,” Terrorism Watch Report, April 28, 2010.","BBC Monitoring South Asia, ""Suspected Maoists Blow up Railway Track in East India,"" LexisNexis Academic, BBC Monitoring South Asia, April 28, 2010.","Statesman, ""Maoists End Bandh by Blowing up Rail Tracks ,' Factiva, Statesman, April 28, 2010.",ISVG,0,0,0,0,"201004270009, 201004280003","[u'come', u'second', u'bandh', u'call', u'maoist', u'bengal', u'bihar', u'jharkhand', u'orissa', u'chhattisgarh', u'andhra', u'pradesh', u'protest', u'oper', u'green', u'hunt']",0.9585861563682556,0.04141382500529289
89,201111120060,2011,11,12,,0,,92,India,6,South Asia,Manipur,Koide,25.38582,94.188498,1.0,1,"Near Koide village, Senapati district, approximately five kilometers from the Imphal-Dimapur highway","11/12/2011: Suspected members of National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) threw hand grenades at D.D. Thaisii, the Manipur education minister, near Koide village in Senapati district, Manipur state, India.  The majority of Thaisii's convoy escaped unharmed; however, one member of the India Reserve Battalion was injured .  At the time of the attack, Thaisii was en route to visit his Assembly constituency of Karong to inspect development activities.  Specific motive behind the incident is unknown; however, authorities believe that Thaisii was targeted because of his continuing role in the Ibobi Singh government.",1,1,1,0.0,,,0.0,1,0,3,Bombing/Explosion,,,,,2,Government (General),18.0,"Government Personnel (excluding police, military)",Manipur state minister,"D.D. Thaisii, the Manipur education minister",92.0,India,3.0,Police,25.0,Police Security Forces/Officers,India Reserve Battalion,A member of the India Reserve Battalion who was providing security for the minister,92.0,India,,,,,,,,,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),,,,,,"Specific motive behind the incident is unknown; however, authorities believe that Thaisii was targeted because of his continuing role in the Ibobi Singh government.",1.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,7.0,Grenade,,,,,,,,,,,,,Hand grenades,0.0,0.0,0.0,1.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"One source states that the minister was on his way back from attending a function; however, a more reputable source states the minister was on his way to inspect development activities.","""NSCN-IM whiff in MLA attack,"" The Telegraph, November 13, 2011.","""Minister Thaisii ambushed,"" Imphal Free Press, November 12, 2011.",,START Primary Collection,0,0,0,0,,"[u'author', u'believ', u'thaisii', u'continu', u'role', u'ibobi', u'singh', u'govern']",0.9313114881515503,0.06868848204612732
109,200711060009,2007,11,6,11/01/2007,1,2007-11-05,141,Nepal,6,South Asia,Central,Janajpur,26.73267,85.924789,1.0,0,,"11/1/2007: Dilbar Sah was abducted by members of Janatantrik Terai Mukti Morcha - Jwala Singh (JTMM-J). Four days later they burned him to death in Janakpur, Dhanusa, Nepal. The Dhanusa district commander of JTMM-J claimed responsibility for the attack, stating that Sah had been spying on the group and had used their name to extort commoners.",1,1,1,0.0,,,0.0,1,0,6,Hostage Taking (Kidnapping),2.0,Armed Assault,,,14,Private Citizens & Property,68.0,Named Civilian,Civilian,Dilbar Sah,141.0,Nepal,,,,,,,,,,,,,,,,,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J),,,,,,Sah was allegedly spying on JTMM-J and using their name to extort commoners.,0.0,,,0,-99.0,0.0,1.0,10.0,Unknown,,,,,,,0.0,8,Incendiary,18.0,Arson/Fire,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0,,,,No property damage reported.,1.0,1.0,0.0,,4.0,,,0.0,,,,,,4.0,Hostage(s) killed (not during rescue attempt),,,"""JTMM-J men burn youth alive,"" The Kathmandu Post, November 5, 2007",,,UMD JTMM Nepal 2012,0,0,0,0,,"[u'alleg', u'spi', u'jtmm', u'extort', u'common']",0.886815071105957,0.11318490654230118
