index,ME_NA,claimed,year_2003,mil_barr,pol_check,pol_build,rel_place,util_elec,gov_polit,terr_nonstate,mil_check,explo_vehicle,explo_unknown,firearm_unknown,firearm_rifle,explo_project,explo_other,firearm_handgun,claim_internet,claim_note,claim_personal,ishostkid,Iraq,Afghanistan,India,Columbia,Syria,motive,motive2,topic1,topic2
0,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources stated that the attack was meant to distract security forces from operations in Fallujah.","['mean', 'distract', 'secur', 'forc', 'oper', 'fallujah']",0.33559319376945496,0.6644068360328674
2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,"The specific motive is unknown; however, sources posited that the Movement for Oneness and Jihad in West Africa (MUJAO) believed the victims were spies.","['posit', 'movement', 'one', 'jihad', 'west', 'africa', 'mujao', 'believ', 'victim', 'spi']",0.0527733713388443,0.9472265839576721
4,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident and stated that the Pakistani judiciary prevents the establishment of an Islamic legal system.,"['tehrik', 'taliban', 'pakistan', 'claim', 'respons', 'pakistani', 'judiciari', 'prevent', 'establish', 'islam', 'legal']",0.7082290649414062,0.29177096486091614
7,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,"The specific motive for the attack is unknown; however, Pro-Taliban militants claimed responsibility for such attacks in the past, arguing that the assaults are in retaliation for the non-UN-sanctioned US airstrikes on Pakistan's tribal regions.","['taliban', 'milit', 'claim', 'respons', 'attack', 'past', 'argu', 'assault', 'retali', 'sanction', 'airstrik', 'pakistan', 'tribal', 'region']",0.24173091351985931,0.7582690715789795
9,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,"In a statement claiming responsibility, Tehrik-e-Taliban stated that the attack was retribution for the death of Hakimullah Mehsud in a US drone strike.","['claim', 'respons', 'tehrik', 'taliban', 'retribut', 'death', 'hakimullah', 'mehsud', 'drone', 'strike']",0.591664731502533,0.40833523869514465
13,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Specific motive is unknown but two of the victims were known for their actions against the Liberation Tigers of Tamil Eelam.,"['victim', 'know', 'action', 'liber', 'tiger', 'tamil', 'eelam']",0.08447135239839554,0.9155286550521851
14,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,It is suspected that this attack was part of a calculated campaign by Islamic extremists to destabilize Algeria by weakening security forces protecting the 'apostate' Algerian government.,"['suspect', 'calcul', 'campaign', 'islam', 'extremist', 'destabil', 'algeria', 'weaken', 'secur', 'forc', 'protect', 'apost', 'algerian', 'govern']",0.04406270384788513,0.9559373259544373
17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,To weak a rival gold mining clan's abilities in the region.,"['weak', 'rival', 'gold', 'mine', 'clan', 'abil', 'region']",0.07481008023023605,0.9251899123191833
18,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,"The Haqqani Network clamed responsibility for the incident and stated that the attack was part of a larger pattern of violence designed to mark the start of the group's spring offensive.  Mujahid claimed that the 18-hour offensive was in revenge for actions by American military forces, including the murder of 17 civilians by a United States (US) soldier and the burning of Korans at a military base.  The spokesperson also claimed the attacks were designed to be a message in direct response to foreign commanders who claimed that the group had lost momentum.","['haqqani', 'network', 'clam', 'respons', 'larger', 'pattern', 'violenc', 'design', 'mark', 'start', 'group', 'spring', 'offens', 'mujahid', 'claim', 'hour', 'offens', 'reveng', 'action', 'american', 'militari', 'forc', 'includ', 'murder', 'civilian', 'unit', 'state', 'soldier', 'burn', 'koran', 'militari', 'base', 'spokesperson', 'claim', 'attack', 'design', 'messag', 'direct', 'respons', 'foreign', 'command', 'claim', 'group', 'lose', 'momentum']",0.028064286336302757,0.9719356894493103
20,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,"The specific motive is unknown; however, sources noted that Prime Minister Narendra Modi was visiting Gaya district a day prior to the incident.","['note', 'prime', 'minist', 'narendra', 'modi', 'visit', 'gaya', 'district', 'prior']",0.06415878236293793,0.9358412027359009
23,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,"The statement justified the attack by saying security forces in Algeria ""torture Muslim youth and shove them into dark prisons while waging war on jihad and the mujahedeen on behalf of their masters in the Elysee Palace and the White House.""","['justifi', 'say', 'secur', 'forc', 'algeria', 'tortur', 'muslim', 'youth', 'shove', 'dark', 'prison', 'wag', 'jihad', 'mujahedeen', 'behalf', 'master', 'elyse', 'palac', 'white', 'hous']",0.06329535692930222,0.9367046356201172
24,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,"Achik National Volunteer Council-B (ANVC-B) claimed responsibility for the incident, stating that they carried out the attack because they suspected that the police officers were rivals disguised as police, since they had refused to produce any documents.","['achik', 'nation', 'volunt', 'council', 'anvc', 'claim', 'respons', 'state', 'carri', 'suspect', 'polic', 'offic', 'rival', 'disguis', 'polic', 'refus', 'produc', 'document']",0.03362937644124031,0.9663706421852112
25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,A banner attached to the explosive device urged ETA members to kill police officers.,"['banner', 'attach', 'explos', 'devic', 'urg', 'member', 'kill', 'polic', 'offic']",0.059505872428417206,0.940494179725647
28,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Political,['polit'],0.6966148018836975,0.3033852279186249
29,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources suspected that the attack, which targeted a predominately Shiite area, may have been part of a larger trend of sectarian violence between Iraq's Sunni minority and Shiite majority communities.","['suspect', 'predomin', 'shiit', 'area', 'larger', 'trend', 'sectarian', 'violenc', 'iraq', 'sunni', 'minor', 'shiit', 'major', 'communiti']",0.9630019068717957,0.036998119205236435
31,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,"The specific motive is unknown; however, sources note the attack occurred in a Sunni village and speculated that it was part of a larger trend of sectarian violence between Iraq's minority Sunni and majority Shiite communities.","['note', 'occur', 'sunni', 'villag', 'larger', 'trend', 'sectarian', 'violenc', 'iraq', 'minor', 'sunni', 'major', 'shiit', 'communiti']",0.9626073837280273,0.037392593920230865
